Experiment,Alert Detection Rate,Lead-Time Detection Rate,Median Lead [95% CI],Mean Lead ± SEM,CRITICAL Prevalence,CRITICAL Lead-Time Rate,Spearman rho,Spearman p
Covariate,100%,80%,"6.0 [4.5, 8.0]",6.3 ± 0.8,100%,80%,-0.649,0.0000
Concept (pooled),96%,96%,"1.0 [0.0, 3.0]",0.3 ± 0.6,16%,16%,-0.057,0.2112
Concept (class-cond),100%,100%,"3.0 [1.0, 3.0]",2.2 ± 0.3,36%,36%,0.039,0.3931
Rotation (pooled),96%,96%,"0.0 [-1.0, 2.0]",-0.5 ± 0.6,16%,16%,-0.052,0.2562
Rotation (class-cond),100%,100%,"2.0 [0.0, 2.0]",1.3 ± 0.3,36%,36%,0.029,0.5230
Conditional (pooled),96%,96%,"3.0 [2.0, 5.0]",2.9 ± 0.7,16%,16%,-0.054,0.2423
Conditional (class-cond),100%,100%,"5.0 [3.0, 6.0]",4.7 ± 0.5,36%,36%,0.033,0.4704
Perturbation (pooled),96%,96%,"0.0 [-1.0, 2.0]",-0.5 ± 0.6,16%,16%,-0.062,0.1790
Perturbation (class-cond),100%,100%,"2.0 [0.0, 2.0]",1.4 ± 0.3,36%,36%,0.010,0.8302
Mixed,100%,100%,"1.0 [-1.0, 3.0]",0.6 ± 0.5,100%,100%,-0.844,0.0000
Natural (Electricity),100%,0%,N/A,N/A,100%,0%,-0.505,0.0000
